List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
,,Retained,Virat Kohli,India,,BATTER,,,RCB,,Capped,2100
,,Retained,Rajat Patidar,India,,BATTER,,,RCB,,Capped,1100
,,Retained,Yash Dayal,India,,BOWLER,,LEFT ARM Fast Medium,RCB,,Uncapped,500
,,Retained,Sanju Samson,India,,WICKETKEEPER,,,RR,,Capped,1800
,,Retained,Yashasvi Jaiswal,India,,BATTER,,,RR,,Capped,1800
,,Retained,Riyan Parag,India,,ALL-ROUNDER,,RIGHT ARM Off Spin,RR,,Capped,1400
,,Retained,Dhruv Jurel,India,,WICKETKEEPER,,,RR,,Capped,1400
,,Retained,Shimron Hetmyer,West Indies,,BATTER,,,RR,,Capped,1100
,,Retained,Sandeep Sharma,India,,BOWLER,,RIGHT ARM Medium,RR,,Uncapped,400
,,Retained,Ruturaj Gaikwad,India,,BATTER,,,CSK,,Capped,1800
,,Retained,Ravindra Jadeja,India,,ALL-ROUNDER,,LEFT ARM Slow Orthodox,CSK,,Capped,1800
,,Retained,Shivam Dube,India,,ALL-ROUNDER,,RIGHT ARM Medium,CSK,,Capped,1300
,,Retained,Matheesha Pathirana,Sri Lanka,,BOWLER,,RIGHT ARM Fast,CSK,,Capped,1200
,,Retained,MS Dhoni,India,,WICKETKEEPER,,,CSK,,Uncapped,400
,,Retained,Rinku Singh,India,,ALL-ROUNDER,,RIGHT ARM Off Spin,KKR,,Capped,1800
,,Retained,Sunil Narine,West Indies,,ALL-ROUNDER,,RIGHT ARM Off Spin,KKR,,Capped,1400
,,Retained,Andre Russell,West Indies,,ALL-ROUNDER,,RIGHT ARM Fast Medium,KKR,,Capped,1800
,,Retained,Varun Chakravarthy,India,,BOWLER,,RIGHT ARM Off Spin,KKR,,Capped,1100
,,Retained,Harshit Rana,India,,BOWLER,,RIGHT ARM Fast,KKR,,Uncapped,400
,,Retained,Ramandeep Singh,India,,ALL-ROUNDER,,RIGHT ARM Medium,KKR,,Uncapped,400
,,Retained,Shashank Singh,India,,BATTER,,,PBKS,,Uncapped,550
,,Retained,Prabhsimran Singh,India,,WICKETKEEPER,,,PBKS,,Uncapped,400
,,Retained,Axar Patel,India,,ALL-ROUNDER,,LEFT ARM Slow Orthodox,DC,,Capped,1800
,,Retained,Kuldeep Yadav,India,,BOWLER,,LEFT ARM Slow Unorthodox,DC,,Capped,1400
,,Retained,Tristan Stubbs,South Africa,,ALL-ROUNDER,,RIGHT ARM Off Spin,DC,,Capped,1100
,,Retained,Abishek Porel,India,,WICKETKEEPER,,,DC,,Uncapped,400
,,Retained,Nicholas Pooran,West Indies,,WICKETKEEPER,,,LSG,,Capped,2100
,,Retained,Ravi Bishnoi,India,,BOWLER,,RIGHT ARM Leg Spin,LSG,,Capped,1100
,,Retained,Mayank Yadav,India,,BOWLER,,RIGHT ARM Fast,LSG,,Capped,1100
,,Retained,Mohsin Khan,India,,BOWLER,,LEFT ARM Fast,LSG,,Uncapped,400
,,Retained,Ayush Badoni,India,,ALL-ROUNDER,,RIGHT ARM Off Spin,LSG,,Uncapped,400
,,Retained,Heinrich Klassen,South Africa,,WICKETKEEPER,,,SRH,,Capped,2300
,,Retained,Pat Cummins,Australia,,BOWLER,,RIGHT ARM Fast,SRH,,Capped,1800
,,Retained,Abhishek Sharma,India,,ALL-ROUNDER,,RIGHT ARM Off Spin,SRH,,Capped,1400
,,Retained,Travis Head,Australia,,BATTER,,,SRH,,Capped,1400
,,Retained,Nitish Kumar Reddy,India,,ALL-ROUNDER,,RIGHT ARM Fast Medium,SRH,,Capped,600
,,Retained,Rashid Khan,Afghanistan,,ALL-ROUNDER,,RIGHT ARM Leg Spin,GT,,Capped,1800
,,Retained,Shubhman Gill,India,,BATTER,,,GT,,Capped,1650
,,Retained,Sai Sudarsan,India,,BATTER,,,GT,,Capped,850
,,Retained,M Shahrukh Khan,India,,ALL-ROUNDER,,RIGHT ARM Off Spin,GT,,Uncapped,400
,,Retained,Rahul Tewatia,India,,ALL-ROUNDER,,RIGHT ARM Off Spin,GT,,Uncapped,400
,,Retained,Jasprit Bumrah,India,,BOWLER,,RIGHT ARM Fast,MI,,Capped,1800
,,Retained,Suryakumar Yadav,India,,BATTER,,,MI,,Capped,1635
,,Retained,Hardik Pandya,India,,ALL-ROUNDER,,RIGHT ARM Fast,MI,,Capped,1635
,,Retained,Rohit Sharma,India,,BATTER,,,MI,,Capped,1630
,,Retained,Tilak Varma,India,,ALL-ROUNDER,,RIGHT ARM Off Spin,MI,,Capped,800
1,1,M1,Jos Buttler,England,34,WICKETKEEPER,RHB,RIGHT ARM Off Spin,RR,11,Capped,200
2,1,M1,Shreyas Iyer,India,30,BATTER,RHB,RIGHT ARM Off Spin,KKR,15,Capped,200
3,1,M1,Rishabh Pant,India,27,BATTER,LHB,RIGHT ARM Off Spin,DC,13,Capped,200
4,1,M1,Kagiso Rabada,South Africa,29,BOWLER,RHB,RIGHT ARM Fast,PBKS,11,Capped,200
5,1,M1,Arshdeep Singh,India,26,BOWLER,LHB,LEFT ARM Fast Medium,PBKS,14,Capped,200
6,1,M1,Mitchell Starc,Australia,35,BOWLER,LHB,LEFT ARM Fast,KKR,14,Capped,200
7,2,M2,Yuzvendra Chahal,India,34,BOWLER,RHB,RIGHT ARM Leg Spin,RR,15,Capped,200
8,2,M2,Liam Livingstone,England,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,PBKS,7,Capped,200
9,2,M2,David Miller,South Africa,35,BATTER,LHB,,GT,9,Capped,150
10,2,M2,KL Rahul,India,32,WICKETKEEPER,RHB,,LSG,14,Capped,200
11,2,M2,Mohammad Shami,India,34,BOWLER,RHB,RIGHT ARM Fast,GT,0,Capped,200
12,2,M2,Mohammad Siraj,India,31,BOWLER,RHB,RIGHT ARM Fast,RCB,14,Capped,200
13,3,BA1,Harry Brook,England,26,BATTER,RHB,RIGHT ARM Medium,DC,0,Capped,200
14,3,BA1,Devon Conway,New Zealand,33,BATTER,LHB,,CSK,0,Capped,200
15,3,BA1,Jake Fraser-Mcgurk,Australia,22,BATTER,RHB,,DC,9,Capped,200
16,3,BA1,Aiden Markram,South Africa,30,BATTER,RHB,RIGHT ARM Off Spin,SRH,11,Capped,200
17,3,BA1,Devdutt Padikkal,India,24,BATTER,LHB,,LSG,7,Capped,200
18,3,BA1,Rahul Tripathi,India,34,BATTER,RHB,RIGHT ARM Medium,SRH,6,Capped,75
19,3,BA1,David Warner,Australia,38,BATTER,LHB,,DC,8,Capped,200
20,4,AL1,Ravichandaran Ashwin,India,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RR,15,Capped,200
21,4,AL1,Venkatesh Iyer,India,30,ALL-ROUNDER,LHB,RIGHT ARM Medium,KKR,15,Capped,200
22,4,AL1,Mitchell Marsh,Australia,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,DC,4,Capped,200
23,4,AL1,Glenn Maxwell,Australia,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RCB,10,Capped,200
24,4,AL1,Harshal Patel,India,34,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,PBKS,14,Capped,200
25,4,AL1,Rachin Ravindra,New Zealand,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,CSK,10,Capped,150
26,4,AL1,Marcus Stoinis,Australia,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,LSG,14,Capped,200
27,5,WK1,Jonny Bairstow,England,35,WICKETKEEPER,RHB,RIGHT ARM Medium,PBKS,11,Capped,200
28,5,WK1,Quinton De Kock,South Africa,32,WICKETKEEPER,LHB,,LSG,11,Capped,200
29,5,WK1,Rahmanullah Gurbaz,Afghanistan,23,WICKETKEEPER,RHB,,KKR,3,Capped,200
30,5,WK1,Ishan Kishan,India,26,WICKETKEEPER,LHB,,MI,14,Capped,200
31,5,WK1,Phil Salt,England,28,WICKETKEEPER,RHB,,KKR,12,Capped,200
32,5,WK1,Jitesh Sharma,India,31,WICKETKEEPER,RHB,,PBKS,14,Capped,100
33,6,FA1,Syed Khaleel Ahmed,India,27,BOWLER,RHB,LEFT ARM Fast Medium,DC,14,Capped,200
34,6,FA1,Trent Boult,New Zealand,35,BOWLER,RHB,LEFT ARM Fast Medium,RR,16,Capped,200
35,6,FA1,Josh Hazlewood,Australia,34,BOWLER,LHB,RIGHT ARM Fast Medium,,,Capped,200
36,6,FA1,Avesh Khan,India,28,BOWLER,RHB,RIGHT ARM Fast,RR,16,Capped,200
37,6,FA1,Prasidh Krishna,India,29,BOWLER,RHB,RIGHT ARM Fast,RR,0,Capped,200
38,6,FA1,T. Natarajan,India,33,BOWLER,LHB,LEFT ARM Fast Medium,SRH,14,Capped,200
39,6,FA1,Anrich Nortje,South Africa,31,BOWLER,RHB,RIGHT ARM Fast,DC,6,Capped,200
40,7,SP1,Noor Ahmad,Afghanistan,20,BOWLER,RHB,LEFT ARM Slow Unorthodox,GT,10,Capped,200
41,7,SP1,Rahul Chahar,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,PBKS,9,Capped,100
42,7,SP1,Wanindu Hasaranga,Sri Lanka,27,BOWLER,RHB,RIGHT ARM Leg Spin,SRH,0,Capped,200
43,7,SP1,Waqar Salamkheil,Afghanistan,23,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,Capped,75
44,7,SP1,Maheesh Theekshana,Sri Lanka,24,BOWLER,RHB,RIGHT ARM Off Spin,CSK,5,Capped,200
45,7,SP1,Adam Zampa,Australia,32,BOWLER,RHB,RIGHT ARM Leg Spin,RR,0,Capped,200
46,8,UBA1,Yash Dhull,India,22,BATTER,RHB,,DC,0,Uncapped,30
47,8,UBA1,Abhinav Manohar,India,30,BATTER,RHB,RIGHT ARM Leg Spin,GT,2,Uncapped,30
48,8,UBA1,Karun Nair,India,33,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
49,8,UBA1,Angkrish Raghuvanshi,India,20,BATTER,RHB,RIGHT ARM Off Spin,KKR,10,Uncapped,30
50,8,UBA1,Anmolpreet Singh,India,27,BATTER,RHB,RIGHT ARM Off Spin,SRH,2,Uncapped,30
51,8,UBA1,Atharva Taide,India,24,BATTER,LHB,LEFT ARM Slow Orthodox,PBKS,2,Uncapped,30
52,8,UBA1,Nehal Wadhera,India,24,BATTER,LHB,RIGHT ARM Leg Spin,MI,6,Uncapped,30
53,9,UAL1,Harpreet Brar,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,PBKS,13,Uncapped,30
54,9,UAL1,Naman Dhir,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,MI,7,Uncapped,30
55,9,UAL1,Mahipal Lomror,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,RCB,10,Uncapped,50
56,9,UAL1,Sameer Rizvi,India,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,CSK,9,Uncapped,30
57,9,UAL1,Abdul Samad,India,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,SRH,16,Uncapped,30
58,9,UAL1,Vijay Shankar,India,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,GT,7,Uncapped,30
59,9,UAL1,Ashutosh Sharma,India,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,PBKS,11,Uncapped,30
60,9,UAL1,Nishant Sindhu,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,CSK,0,Uncapped,30
61,9,UAL1,Utkarsh Singh,India,26,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
62,10,UWK1,Aryan Juyal,India,23,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
63,10,UWK1,Kumar Kushagra,India,20,WICKETKEEPER,RHB,,GT,0,Uncapped,30
64,10,UWK1,Robin Minz,India,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,GT,0,Uncapped,30
65,10,UWK1,Anuj Rawat,India,25,WICKETKEEPER,LHB,RIGHT ARM Leg Spin,RCB,5,Uncapped,30
66,10,UWK1,Luvnith Sisodia,India,25,WICKETKEEPER,LHB,,,,Uncapped,30
67,10,UWK1,Vishnu Vinod,India,31,WICKETKEEPER,RHB,,MI,0,Uncapped,30
68,10,UWK1,Upendra Singh Yadav,India,28,WICKETKEEPER,RHB,,SRH,0,Uncapped,30
69,11,UFA1,Vaibhav Arora,India,27,BOWLER,RHB,RIGHT ARM Fast Medium,KKR,10,Uncapped,30
70,11,UFA1,Rasikh Dar,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,DC,8,Uncapped,30
71,11,UFA1,Akash Madhwal,India,31,BOWLER,RHB,RIGHT ARM Fast,MI,5,Uncapped,30
72,11,UFA1,Mohit Sharma,India,36,BOWLER,RHB,RIGHT ARM Fast,GT,12,Uncapped,50
73,11,UFA1,Simarjeet Singh,India,27,BOWLER,RHB,RIGHT ARM Fast,CSK,4,Uncapped,30
74,11,UFA1,Yash Thakur,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,LSG,10,Uncapped,30
75,11,UFA1,Kartik Tyagi,India,24,BOWLER,RHB,RIGHT ARM Fast,GT,1,Uncapped,40
76,11,UFA1,Vyshak Vijaykumar,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,RCB,4,Uncapped,30
77,12,USP1,Piyush Chawla,India,36,BOWLER,LHB,RIGHT ARM Leg Spin,MI,11,Uncapped,50
78,12,USP1,Shreyas Gopal,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,MI,3,Uncapped,30
79,12,USP1,Mayank Markande,India,27,BOWLER,RHB,RIGHT ARM Leg Spin,SRH,7,Uncapped,30
80,12,USP1,Suyash Sharma,India,21,BOWLER,RHB,RIGHT ARM Leg Spin,KKR,2,Uncapped,30
81,12,USP1,Karn Sharma,India,37,BOWLER,LHB,RIGHT ARM Leg Spin,RCB,9,Uncapped,50
82,12,USP1,Kumar Kartikeya Singh,India,27,BOWLER,RHB,LEFT ARM Slow Orthodox,MI,0,Uncapped,30
83,12,USP1,Manav Suthar,India,22,BOWLER,LHB,LEFT ARM Slow Orthodox,GT,0,Uncapped,30
84,13,BA2,Mayank Agarawal,India,34,BATTER,RHB,RIGHT ARM Off Spin,SRH,4,Capped,100
85,13,BA2,Faf Du Plessis,South Africa,40,BATTER,RHB,,RCB,15,Capped,200
86,13,BA2,Glenn Phillips,New Zealand,28,BATTER,RHB,RIGHT ARM Off Spin,SRH,0,Capped,200
87,13,BA2,Rovman Powell,West Indies,31,BATTER,RHB,RIGHT ARM Fast Medium,RR,10,Capped,150
88,13,BA2,Ajinkya Rahane,India,36,BATTER,RHB,,CSK,13,Capped,150
